24.06.14,10
07.06.13,28
18.11.15,15
08.02.11,1
24.08.22,26
18.04.12,23
29.05.16,26
02.03.12,-4
26.12.19,22
26.12.20,4
03.12.12,3
25.10.16,21
25.06.12,-6
17.11.22,9
27.12.14,8
20.05.15,-8
05.01.20,12
29.05.21,-5
02.03.20,20
14.07.13,18
09.10.19,24
09.01.11,6
06.12.19,29
14.03.12,8
24.03.19,11
28.10.14,8
13.01.22,16
28.06.21,15
20.09.10,19
01.06.22,22
09.11.21,26
02.12.10,4
18.12.15,20
04.10.11,20
03.04.17,7
21.02.13,13
07.06.14,28
29.06.12,16
10.03.13,-2
25.01.22,5
09.11.19,7
17.09.20,-9
20.03.11,26
01.03.16,11
29.01.13,-6
08.02.18,29
12.07.10,18
04.08.18,3
09.01.12,11
06.07.23,24
